step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,17,1,2.498856035657227,0.0,0.14285714285714285,2.23710680087097,0.0,0.2857142857142857,,
2,26,2,3.4274807497859,0.0,0.0,,,,,
3,43,3,3.349372048974037,0.0,0.2,,,,,
4,52,4,3.5075569796562194,0.0,0.0,,,,,
5,69,5,1.7393057426065206,0.0,0.0,,,,,
6,86,6,1.3595538422465323,0.0,0.0,,,,,
7,103,7,2.687821576623246,0.0,0.36363636363636365,,,,,
8,120,8,3.207028908729553,0.0,0.125,,,,,
9,137,9,2.500232205763459,0.0,0.3,1.7733447128534316,0.0,0.25,,
10,154,10,1.843622678630054,0.0,0.2857142857142857,,,,,
11,163,11,1.9365035365894436,0.0,0.25,,,,,
12,180,12,0.7389929167926311,0.0,0.5,,,,,
13,197,13,1.0993655943108025,0.0,0.6363636363636364,,,,,
14,214,14,1.0167587195138912,0.0,0.42857142857142855,,,,,
15,223,15,1.8549157662456857,0.0,0.4,,,,,
16,240,16,1.2051020001969301,0.0,0.6,,,,,
17,249,17,0.9278137237363262,0.0,0.75,1.3564619827651767,0.0,0.5,,
18,258,18,1.6090501959627725,0.0,0.3333333333333333,,,,,
19,267,19,0.599019309305586,0.0,0.75,,,,,
20,284,20,0.41837305057211777,0.0,0.7142857142857143,,,,,
21,293,21,1.1790898567729164,0.0,0.5,,,,,
22,310,22,0.3190400672635587,0.0,0.8571428571428571,,,,,
23,327,23,0.7016293268380105,0.0,0.8181818181818182,,,,,
24,344,24,0.7857192778401076,0.0,0.6,,,,,
25,353,25,0.5329128530304297,0.0,0.5,1.3842942071522701,0.0,0.5,,
26,362,26,0.4081018896063324,0.0,0.5,,,,,
27,371,27,0.16800205321080283,1.0,1.0,,,,,
28,380,28,0.33591829329030587,0.0,0.75,,,,,
29,397,29,0.5571289971865917,0.0,0.8,,,,,
30,406,30,1.7773420768808865,0.0,0.4,,,,,
31,423,31,0.4517170163318224,0.0,0.8,,,,,
32,440,32,0.4245070667575055,0.0,0.7142857142857143,,,,,
33,449,33,0.19045896237599663,1.0,1.0,0.39295049223263046,0.0,0.9,,
34,458,34,0.2847691226773895,0.0,0.75,,,,,
35,467,35,1.5365091506042516,0.0,0.3333333333333333,,,,,
36,484,36,0.5424756022647489,0.0,0.7272727272727273,,,,,
37,501,37,0.46634936378803105,0.0,0.6,,,,,
38,510,38,0.8099691208754666,0.0,0.75,,,,,
39,527,39,0.34013853393436877,0.0,0.8,,,,,
